date,day_of_year,day_of_year_sin,day_of_year_cos,knyc_hrrr_f05_c,knyc_hrrr_f06_c,knyc_hrrr_f07_c,knyc_obs_temp_c,knyc_obs_dewpoint_c,knyc_obs_wind_speed_kts,knyc_obs_wind_dir_sin,knyc_obs_wind_dir_cos,knyc_morning_avg_temp_c,knyc_morning_max_temp_c,knyc_morning_min_temp_c,knyc_morning_avg_dewpoint_c,knyc_obs_pressure_mslp_hpa,knyc_obs_visibility_mi,klga_hrrr_f05_c,klga_hrrr_f06_c,klga_hrrr_f07_c,klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c,klga_obs_temp_c,klga_obs_dewpoint_c,klga_obs_wind_speed_kts,klga_obs_wind_dir_sin,klga_obs_wind_dir_cos,klga_morning_avg_temp_c,klga_morning_max_temp_c,klga_morning_min_temp_c,klga_morning_avg_dewpoint_c,klga_obs_pressure_mslp_hpa,data_quality_knyc_obs_hours,data_quality_klga_obs_hours,data_quality_missing_models,knyc_wind_speed_missing,target_knyc_high_c,knyc_yesterday_high_c,err_hrrr_c
2021-01-01,1,0.0172015754182605,0.9998520419557736,3.23,3.55,3.34,1.66666666666667,-6.11111111111111,8.0,0.642787609686539,0.766044443118978,1.48148148148148,2.22222222222222,1.11111111111111,-5.39506172839506,1033.4,10.0,3.36,3.55,3.52,,,,,,,,2.22222222222222,-6.11111111111111,6.0,0.642787609686539,0.766044443118978,2.40740740740741,3.33333333333333,1.66666666666667,-4.91975308641975,1033.8,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",0,4.444,8.889,0.8940000000000001
2021-01-02,2,0.034398060613608,0.9994082116062598,9.27,8.37,7.07,4.44444444444445,3.33333333333333,3.0,-0.939692620785908,-0.342020143325669,3.33333333333333,4.44444444444445,2.22222222222222,2.40740740740741,1008.4,7.0,9.46,8.62,7.25,,,,,,,,6.11111111111111,2.77777777777778,9.0,-0.984807753012208,-0.17364817766693,4.5679012345679,6.11111111111111,3.33333333333333,2.34567901234568,1008.6,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",0,10.556,4.444,2.186
2021-01-03,3,0.0515843668694083,0.9986686402879996,2.78,3.02,3.27,2.22222222222222,-1.72222222222222,7.0,0.642787609686539,0.766044443118978,2.03703703703704,2.77777777777778,1.66666666666667,-2.35802469135802,1020.4,10.0,3.03,3.15,3.4,,,,,,,,2.77777777777778,-1.72222222222222,8.0,0.5,0.866025403784439,2.83950617283951,3.88888888888889,2.22222222222222,-2.24691358024691,1021.0,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",0,3.333,10.556,0.31300000000000017
2021-01-04,4,0.0687554084811394,0.9976335468520452,5.81,5.92,5.63,2.77777777777778,-0.611111111111112,4.0,,,1.97530864197531,2.77777777777778,1.66666666666667,-0.148148148148149,1016.5,10.0,5.87,5.8,5.82,,,,,,,,3.33333333333333,-0.611111111111112,10.0,0.17364817766693,0.984807753012208,3.02469135802469,3.33333333333333,2.77777777777778,-0.34567901234568,1016.5,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",0,6.111,3.333,0.19099999999999984
2021-01-05,5,0.0859061042613327,0.9963032375991964,3.72,4.35,4.01,3.33333333333333,-1.11111111111111,3.0,,,2.83950617283951,3.33333333333333,2.77777777777778,-1.0679012345679,1013.9,10.0,4.22,4.16,4.2,,,,,,,,4.44444444444445,-1.11111111111111,4.0,0.342020143325669,0.939692620785908,3.95061728395062,4.44444444444445,3.88888888888889,-1.32716049382716,1013.9,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",0,5.556,6.111,1.2060000000000004
2021-01-06,6,0.1030313790431787,0.9946781061893646,3.99,3.89,3.63,2.22222222222222,-2.22222222222222,5.0,-0.939692620785908,0.342020143325669,2.22222222222222,2.77777777777778,1.66666666666667,-1.64197530864198,1014.9,10.0,4.06,3.95,3.7,,,,,,,,3.33333333333333,-1.72222222222222,10.0,-0.766044443118978,0.642787609686539,3.51851851851852,3.88888888888889,2.77777777777778,-1.51851851851852,1015.0,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",0,5.0,5.556,1.1099999999999999
2021-01-07,7,0.1201261651823505,0.9927586335250792,4.91,5.8,5.89,0.0,-7.22222222222222,4.0,,,0.302469135802469,1.11111111111111,-0.611111111111112,-6.1358024691358,1019.8,10.0,4.66,5.43,5.51,,,,,,,,1.11111111111111,-6.72222222222222,11.0,-0.5,0.866025403784438,1.60493827160494,2.77777777777778,0.555555555555556,-5.69753086419753,1020.1,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",1,5.0,5.0,-0.7999999999999998
2021-01-08,8,0.1371854040566005,0.9905453876091832,4.26,5.08,5.01,-1.72222222222222,-7.77777777777778,6.0,-0.342020143325669,0.939692620785908,-1.80864197530864,-1.11111111111111,-2.22222222222222,-7.11728395061728,1017.2,10.0,4.32,5.02,4.82,,,,,,,,0.0,-6.72222222222222,7.0,-2.44929359829471e-16,1.0,-0.209876543209877,0.555555555555556,-0.611111111111112,-6.76543209876543,1017.3,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",0,2.778,5.0,-2.302
2021-01-09,9,0.1542040475626894,0.988039023376751,1.22,1.77,2.16,-3.27777777777778,-10.6111111111111,6.0,-2.44929359829471e-16,1.0,-3.0679012345679,-1.11111111111111,-3.88888888888889,-9.67283950617284,1012.2,10.0,1.41,1.84,2.1,,,,,,,,-1.11111111111111,-10.6111111111111,12.0,-0.17364817766693,0.984807753012208,-1.51851851851852,-0.611111111111112,-2.22222222222222,-9.17901234567901,1012.4,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",0,2.778,2.778,1.008
2021-01-10,10,0.1711770596101998,0.985240282501282,3.95,4.42,4.8,-1.11111111111111,-8.88888888888889,3.0,,,-0.820987654320988,0.0,-1.72222222222222,-8.57407407407407,1021.9,10.0,3.95,4.42,4.61,,,,,,,,0.555555555555556,-8.27777777777778,10.0,-0.17364817766693,0.984807753012208,0.740740740740741,1.66666666666667,0.0,-7.75925925925926,1022.1,9,9,"klga_rap_f05_c,klga_rap_f06_c,klga_rap_f07_c,klga_gfs_f05_c,klga_gfs_f06_c,klga_gfs_f07_c,klga_gfs_f08_c",0,5.0,2.778,0.5800000000000001
