,importance,stddev,p_value,n,p99_high,p99_low
knyc_hrrr_f06_c,0.2742510862688844,,,1,,
klga_hrrr_f06_c,0.19621180193303145,,,1,,
klga_hrrr_f05_c,0.0987482105677947,,,1,,
knyc_hrrr_f05_c,0.0778361250182924,,,1,,
klga_morning_avg_dewpoint_c,0.03165785097920648,,,1,,
knyc_obs_pressure_mslp_hpa,0.027579831860400694,,,1,,
klga_gfs_f07_c,0.026459755065105894,,,1,,
knyc_morning_avg_dewpoint_c,0.026414891620228587,,,1,,
klga_gfs_f05_c,0.020794738649390743,,,1,,
klga_obs_dewpoint_c,0.012577950507588587,,,1,,
klga_morning_avg_temp_c,0.012397784978958493,,,1,,
knyc_hrrr_f07_c,0.012342531878920315,,,1,,
knyc_morning_max_temp_c,0.011461113212319685,,,1,,
klga_obs_pressure_mslp_hpa,0.0108835750576729,,,1,,
knyc_obs_dewpoint_c,0.01084401990131778,,,1,,
klga_hrrr_f07_c,0.010425502277941812,,,1,,
knyc_obs_visibility_mi,0.009162986255250805,,,1,,
klga_rap_f05_c,0.008066720378461012,,,1,,
day_of_year,0.006459758198571697,,,1,,
knyc_morning_avg_temp_c,0.005446082949141728,,,1,,
knyc_yesterday_high_c,0.004561792310327273,,,1,,
klga_obs_wind_dir_sin,0.004143914028195028,,,1,,
klga_morning_max_temp_c,0.003901762352324978,,,1,,
klga_obs_wind_speed_kts,0.003082864015301001,,,1,,
day_of_year_sin,0.0030814209254458325,,,1,,
klga_morning_min_temp_c,0.0026091310235981657,,,1,,
klga_gfs_f06_c,0.0025827604534103266,,,1,,
klga_obs_temp_c,0.0018999963804768871,,,1,,
knyc_morning_min_temp_c,0.001468923664651789,,,1,,
day_of_year_cos,0.0001493490921954388,,,1,,
klga_gfs_f08_c,0.0,,,1,,
data_quality_missing_models,0.0,,,1,,
data_quality_klga_obs_hours,0.0,,,1,,
data_quality_knyc_obs_hours,0.0,,,1,,
month,-4.02062044790874e-06,,,1,,
klga_rap_f06_c,-0.0004902461736152608,,,1,,
month_cat,-0.0027192529128865495,,,1,,
knyc_obs_wind_dir_cos,-0.0033523651072755456,,,1,,
knyc_wind_speed_missing,-0.003889453349014138,,,1,,
knyc_obs_temp_c,-0.003920795021345791,,,1,,
knyc_obs_wind_dir_sin,-0.006027015259799873,,,1,,
knyc_obs_wind_speed_kts,-0.0064003157520666765,,,1,,
klga_obs_wind_dir_cos,-0.006581667459600871,,,1,,
klga_rap_f07_c,-0.018531050557612172,,,1,,
